Songs,Songs_rename,Singers,Singers_rename
我與你,WoYuNi,古巨基,GuJuJi
我讀得書少,WoDuDeShuShao,古巨基,GuJuJi
我送妳...,WoSongNai...,古巨基,GuJuJi
我還是你的,WoHuanShiNiDe,古巨基,GuJuJi
所謂愛情,SuoWeiAiQing,古巨基,GuJuJi
找到你是我最偉大的成功,ZhaoDaoNiShiWoZuiWeiDaDeChengGong,古巨基,GuJuJi
承擔,ChengDan,古巨基,GuJuJi
抱雪,BaoXue,古巨基,GuJuJi
拳傾天下,QuanQingTianXia,古巨基,GuJuJi
換日線,HuanRiXian,古巨基,GuJuJi
放下,FangXia,古巨基,GuJuJi
敢死隊,GanSiDui,古巨基,GuJuJi
新鮮感發作,XinXianGanFaZuo,古巨基,GuJuJi
日出,RiChu,古巨基,GuJuJi
日落大道,RiLuoDaDao,古巨基,GuJuJi
日記,RiJi,古巨基,GuJuJi
明天,MingTian,古巨基,GuJuJi
明星,MingXing,古巨基,GuJuJi
星戰,XingZhan,古巨基,GuJuJi
春天,ChunTian,古巨基,GuJuJi
時代(Blackbox Acoustic Remix)(粵語版),ShiDai(BlackboxAcousticRemix)(YueYuBan),古巨基,GuJuJi
時代(國),ShiDai(Guo),古巨基,GuJuJi
時代,ShiDai,古巨基,GuJuJi
晨曦,ChenXi,古巨基,GuJuJi
曇花,TanHua,古巨基,GuJuJi
最後一舞,ZuiHouYiWu,古巨基,GuJuJi
最後勝利,ZuiHouShengLi,古巨基,GuJuJi
最愛 ,ZuiAi,古巨基,GuJuJi
最終幻想,ZuiZhongHuanXiang,古巨基,GuJuJi
有你一天,YouNiYiTian,古巨基,GuJuJi
有實無名,YouShiWuMing,古巨基,GuJuJi
有少少愛,YouShaoShaoAi,古巨基,GuJuJi
有心(Autumn Breeze Version),YouXin(AutumnBreezeVersion),古巨基,GuJuJi
有心,YouXin,古巨基,GuJuJi
有心人,YouXinRen,古巨基,GuJuJi
有所不知,YouSuoBuZhi,古巨基,GuJuJi
木訥,MuNe,古巨基,GuJuJi
未來很美,WeiLaiHenMei,古巨基,GuJuJi
樂在其中,LeZaiQiZhong,古巨基,GuJuJi
樓下有人,LouXiaYouRen,古巨基,GuJuJi
歡樂今宵,HuanLeJinXiao,古巨基,GuJuJi
殉情記,XunQingJi,古巨基,GuJuJi
每一面都美,MeiYiMianDuMei,古巨基,GuJuJi
每個日出(遠方想念版),MeiGeRiChu(YuanFangXiangNianBan),古巨基,GuJuJi
每個日出,MeiGeRiChu,古巨基,GuJuJi
毫無保留,HaoWuBaoLiu,古巨基,GuJuJi
永遠永遠,YongYuanYongYuan,古巨基,GuJuJi
決戰十一,JueZhanShiYi,古巨基,GuJuJi
決裂,JueLie,古巨基,GuJuJi
沒什麼不可以,MeiShiMaBuKeYi,古巨基,GuJuJi
沒有腳的小鳥,MeiYouJiaoDeXiaoNiao,古巨基,GuJuJi
沒法愛別人,MeiFaAiBieRen,古巨基,GuJuJi
波斯貓,BoSiMao,古巨基,GuJuJi
浪漫烈火,LangManLieHuo,古巨基,GuJuJi
深呼吸飛行,ShenHuXiFeiXing,古巨基,GuJuJi
漂流教室,PiaoLiuJiaoShi,古巨基,GuJuJi
漩渦,XuanWo,古巨基,GuJuJi
為何,WeiHe,古巨基,GuJuJi
烈女,LieNu,古巨基,GuJuJi
無了的飛,WuLiaoDeFei,古巨基,GuJuJi
無心愛,WuXinAi,古巨基,GuJuJi
無涯洞,WuYaDong,古巨基,GuJuJi
無畏,WuWei,古巨基,GuJuJi
煉金術,LianJinShu,古巨基,GuJuJi
煙雨濛濛,YanYuMengMeng,古巨基,GuJuJi
煞科,ShaKe,古巨基,GuJuJi
爆了,BaoLiao,古巨基,GuJuJi
特效藥,TeXiaoYao,古巨基,GuJuJi
犀利歌,XiLiGe,古巨基,GuJuJi
獨男,DuNan,古巨基,GuJuJi
獨行俠,DuXingXia,古巨基,GuJuJi
玻璃之情,BoLiZhiQing,古巨基,GuJuJi
理由,LiYou,古巨基,GuJuJi
甜蜜蜜,TianMiMi,古巨基,GuJuJi
由零開始,YouLingKaiShi,古巨基,GuJuJi
男左女右(古巨基&關淑怡),NanZuoNuYou(GuJuJi&GuanShuYi),古巨基,GuJuJi
當年情,DangNianQing,古巨基,GuJuJi
當愛已成往事,DangAiYiChengWangShi,古巨基,GuJuJi
白玫瑰,BaiMeiGui,古巨基,GuJuJi
直到銀婚,ZhiDaoYinHun,古巨基,GuJuJi
相愛吧,XiangAiBa,古巨基,GuJuJi
眼睛不能沒眼淚,YanJingBuNengMeiYanLei,古巨基,GuJuJi
睡美人,ShuiMeiRen,古巨基,GuJuJi
知不知,ZhiBuZhi,古巨基,GuJuJi
破結他,PoJieTa,古巨基,GuJuJi
磨利刀,MoLiDao,古巨基,GuJuJi
神跡,ShenJi,古巨基,GuJuJi
神蹟,ShenJi,古巨基,GuJuJi
秋冷了月光,QiuLengLiaoYueGuang,古巨基,GuJuJi
空肚食早餐,KongDuShiZaoCan,古巨基,GuJuJi
窩居,WoJu,古巨基,GuJuJi
窮我一生(國),QiongWoYiSheng(Guo),古巨基,GuJuJi
窮我一生,QiongWoYiSheng,古巨基,GuJuJi
笑說想(愛看風雲),XiaoShuoXiang(AiKanFengYun),古巨基,GuJuJi
笑說想,XiaoShuoXiang,古巨基,GuJuJi
第7感(粵),Di7Gan(Yue),古巨基,GuJuJi
第7感,Di7Gan,古巨基,GuJuJi
第二最愛( Acoustic Version),DiErZuiAi(AcousticVersion),古巨基,GuJuJi
第二最愛(Acoustic Version),DiErZuiAi(AcousticVersion),古巨基,GuJuJi
第二最愛,DiErZuiAi,古巨基,GuJuJi
約定你,YueDingNi,古巨基,GuJuJi
純真傳說,ChunZhenChuanShuo,古巨基,GuJuJi
結束，我們抱著哭,JieShu，WoMenBaoZhuKu,古巨基,GuJuJi
給幸福一個機會,GeiXingFuYiGeJiHui,古巨基,GuJuJi
羅馬假期,LuoMaJiaJi,古巨基,GuJuJi
美少女夢工場之真三國無雙,MeiShaoNuMengGongChangZhiZhenSanGuoWuShuang,古巨基,GuJuJi
美雪美雪,MeiXueMeiXue,古巨基,GuJuJi
義海豪情,YiHaiHaoQing,古巨基,GuJuJi
老實說,LaoShiShuo,古巨基,GuJuJi
自作多情,ZiZuoDuoQing,古巨基,GuJuJi
自我安慰,ZiWoAnWei,古巨基,GuJuJi
至Net小人類,ZhiNetXiaoRenLei,古巨基,GuJuJi
致少年時代,ZhiShaoNianShiDai,古巨基,GuJuJi
與世無爭,YuShiWuZheng,古巨基,GuJuJi
花不痛,HuaBuTong,古巨基,GuJuJi
花灑,HuaSa,古巨基,GuJuJi
苦,Ku,古巨基,GuJuJi
苦浪漫,KuLangMan,古巨基,GuJuJi
萬般帶不走,WanBanDaiBuZou,古巨基,GuJuJi
藍天與白雲,LanTianYuBaiYun,古巨基,GuJuJi
處處吻,ChuChuWen,古巨基,GuJuJi
蜜蜂,MiFeng,古巨基,GuJuJi
蝸居,GuaJu,古巨基,GuJuJi
螞蟻,MaYi,古巨基,GuJuJi
蠻不講理,ManBuJiangLi,古巨基,GuJuJi
西部之醉,XiBuZhiZui,古巨基,GuJuJi
要是那時...,YaoShiNaShi...,古巨基,GuJuJi
親親你多好,QinQinNiDuoHao,古巨基,GuJuJi
親親我好嗎 (媽媽親親我大合唱),QinQinWoHaoMa(MaMaQinQinWoDaHeChang),古巨基,GuJuJi
親親我好嗎,QinQinWoHaoMa,古巨基,GuJuJi
許願,XuYuan,古巨基,GuJuJi
誰都知我想著誰,ShuiDuZhiWoXiangZhuShui,古巨基,GuJuJi
謎底,MiDi,古巨基,GuJuJi
護身符,HuShenFu,古巨基,GuJuJi
讓我們在一起,RangWoMenZaiYiQi,古巨基,GuJuJi
讓時間說愛,RangShiJianShuoAi,古巨基,GuJuJi
賞心樂事,ShangXinLeShi,古巨基,GuJuJi
赤川次郎夜想曲,ChiChuanCiLangYeXiangQu,古巨基,GuJuJi
越來越好,YueLaiYueHao,古巨基,GuJuJi
路邊攤,LuBianTan,古巨基,GuJuJi
跳飛機,TiaoFeiJi,古巨基,GuJuJi
輪流轉,LunLiuZhuan,古巨基,GuJuJi
迷博,MiBo,古巨基,GuJuJi
追夢者,ZhuiMengZhe,古巨基,GuJuJi
逆時光,NiShiGuang,古巨基,GuJuJi
選秀(國),XuanXiu(Guo),古巨基,GuJuJi
選秀,XuanXiu,古巨基,GuJuJi
還是一個人,HuanShiYiGeRen,古巨基,GuJuJi
還是好朋友(&梁靜茹),HuanShiHaoPengYou(&LiangJingRu),古巨基,GuJuJi
還是覺得你最好,HuanShiJueDeNiZuiHao,古巨基,GuJuJi
重拾舊歡,ZhongShiJiuHuan,古巨基,GuJuJi
重複犯錯,ZhongFuFanCuo,古巨基,GuJuJi
錢錢錢錢,QianQianQianQian,古巨基,GuJuJi
鏡子裡的人,JingZiLiDeRen,古巨基,GuJuJi
鐵男,TieNan,古巨基,GuJuJi
鑽石敗犬,ZuanShiBaiQuan,古巨基,GuJuJi
長信不如短訊,ChangXinBuRuDuanXun,古巨基,GuJuJi
長恨哥哥,ChangHenGeGe,古巨基,GuJuJi
開大,KaiDa,古巨基,GuJuJi
阿當夏娃,ADangXiaWa,古巨基,GuJuJi
隨便,SuiBian,古巨基,GuJuJi
順風車,ShunFengChe,古巨基,GuJuJi
預感,YuGan,古巨基,GuJuJi
願愛的得到不是愛,YuanAiDeDeDaoBuShiAi,古巨基,GuJuJi
顛覆,DianFu,古巨基,GuJuJi
風繼續吹 ,FengJiXuChui,古巨基,GuJuJi
飄流教室,PiaoLiuJiaoShi,古巨基,GuJuJi
驕陽,JiaoYang,古巨基,GuJuJi
驚漢號(!!!),JingHanHao(!!!),古巨基,GuJuJi
黃昏,HuangHun,古巨基,GuJuJi
黑仔,HeiZi,古巨基,GuJuJi
14 天,14Tian,周國賢,ZhouGuoXian
14天,14Tian,周國賢,ZhouGuoXian
Ana's Song,Ana'sSong,周國賢,ZhouGuoXian
Beautiful,Beautiful,周國賢,ZhouGuoXian
Blowing In The Wind,BlowingInTheWind,周國賢,ZhouGuoXian
Children Song,ChildrenSong,周國賢,ZhouGuoXian
Computer Data Not Playable,ComputerDataNotPlayable,周國賢,ZhouGuoXian
DreamCatcher,DreamCatcher,周國賢,ZhouGuoXian
Every Breath You Take,EveryBreathYouTake,周國賢,ZhouGuoXian
Go With The Flow,GoWithTheFlow,周國賢,ZhouGuoXian
Lightning Crashes,LightningCrashes,周國賢,ZhouGuoXian
Otherside,Otherside,周國賢,ZhouGuoXian
The Nurse Who Loved Me,TheNurseWhoLovedMe,周國賢,ZhouGuoXian
Too Late,TooLate,周國賢,ZhouGuoXian
七味粉,QiWeiFen,周國賢,ZhouGuoXian
不一樣天空,BuYiYangTianKong,周國賢,ZhouGuoXian
不敵,BuDi,周國賢,ZhouGuoXian
世界小姐,ShiJieXiaoJie,周國賢,ZhouGuoXian
人在做,RenZaiZuo,周國賢,ZhouGuoXian
今生不回家,JinShengBuHuiJia,周國賢,ZhouGuoXian
光,Guang,周國賢,ZhouGuoXian
公仔箱,GongZiXiang,周國賢,ZhouGuoXian
凱旋,KaiXuan,周國賢,ZhouGuoXian
初戀殘酷物語(December Version),ChuLianCanKuWuYu(DecemberVersion),周國賢,ZhouGuoXian
初戀殘酷物語,ChuLianCanKuWuYu,周國賢,ZhouGuoXian
十四天,ShiSiTian,周國賢,ZhouGuoXian
半醉人間,BanZuiRenJian,周國賢,ZhouGuoXian
受難曲,ShouNanQu,周國賢,ZhouGuoXian
告一段落,GaoYiDuanLuo,周國賢,ZhouGuoXian
回去哪要時光機器,HuiQuNaYaoShiGuangJiQi,周國賢,ZhouGuoXian
在天之靈,ZaiTianZhiLing,周國賢,ZhouGuoXian
地下街,DiXiaJie,周國賢,ZhouGuoXian
大不了,DaBuLiao,周國賢,ZhouGuoXian
大人的科學,DaRenDeKeXue,周國賢,ZhouGuoXian
大條樂理,DaTiaoLeLi,周國賢,ZhouGuoXian
大躍進,DaYueJin,周國賢,ZhouGuoXian
天下無敵,TianXiaWuDi,周國賢,ZhouGuoXian
天馬行空,TianMaXingKong,周國賢,ZhouGuoXian
失散時光,ShiSanShiGuang,周國賢,ZhouGuoXian
好世代,HaoShiDai,周國賢,ZhouGuoXian
好世代！！！,HaoShiDai！！！,周國賢,ZhouGuoXian
好自為之,HaoZiWeiZhi,周國賢,ZhouGuoXian
委屈,WeiQu,周國賢,ZhouGuoXian
守口如瓶,ShouKouRuPing,周國賢,ZhouGuoXian
密封罩,MiFengZhao,周國賢,ZhouGuoXian
小國英雄,XiaoGuoYingXiong,周國賢,ZhouGuoXian
年輕人們,NianQingRenMen,周國賢,ZhouGuoXian
從前你已共我相好,CongQianNiYiGongWoXiangHao,周國賢,ZhouGuoXian
從此世界多了一分鐘,CongCiShiJieDuoLiaoYiFenZhong,周國賢,ZhouGuoXian
愛比死更冷,AiBiSiGengLeng,周國賢,ZhouGuoXian
我們都不是無辜的,WoMenDuBuShiWuGuDe,周國賢,ZhouGuoXian
我是個地球人,WoShiGeDiQiuRen,周國賢,ZhouGuoXian
搖滾叛徒 Music Video,YaoGunPanTuMusicVideo,周國賢,ZhouGuoXian
搖滾叛徒,YaoGunPanTu,周國賢,ZhouGuoXian
摩托人('極樂'國語版),MoTuoRen('JiLe'GuoYuBan),周國賢,ZhouGuoXian
星塵,XingChen,周國賢,ZhouGuoXian
時空,ShiKong,周國賢,ZhouGuoXian
最終幕,ZuiZhongMu,周國賢,ZhouGuoXian
有時,YouShi,周國賢,ZhouGuoXian
東區酒廊,DongQuJiuLang,周國賢,ZhouGuoXian
森林大火了,SenLinDaHuoLiao,周國賢,ZhouGuoXian
極樂 Music Video,JiLeMusicVideo,周國賢,ZhouGuoXian
極樂(Motorola E680I Theme Song),JiLe(MotorolaE680IThemeSong),周國賢,ZhouGuoXian
極樂,JiLe,周國賢,ZhouGuoXian
橡筋,XiangJin,周國賢,ZhouGuoXian
永遠太遠,YongYuanTaiYuan,周國賢,ZhouGuoXian
消化不良,XiaoHuaBuLiang,周國賢,ZhouGuoXian
溫室氣球,WenShiQiQiu,周國賢,ZhouGuoXian
漢城沉沒了,HanChengChenMeiLiao,周國賢,ZhouGuoXian
灰人,HuiRen,周國賢,ZhouGuoXian
灰色小飛俠,HuiSeXiaoFeiXia,周國賢,ZhouGuoXian
無顧慮的親密,WuGuLuDeQinMi,周國賢,ZhouGuoXian
物極必反,WuJiBiFan,周國賢,ZhouGuoXian
理智與感情,LiZhiYuGanQing,周國賢,ZhouGuoXian
當下的力量,DangXiaDeLiLiang,周國賢,ZhouGuoXian
登陸日,DengLuRi,周國賢,ZhouGuoXian
目黑(合唱版),MuHei(HeChangBan),周國賢,ZhouGuoXian
目黑,MuHei,周國賢,ZhouGuoXian
相好,XiangHao,周國賢,ZhouGuoXian
童夢,TongMeng,周國賢,ZhouGuoXian
第一次,DiYiCi,周國賢,ZhouGuoXian
絕望的謊容,JueWangDeHuangRong,周國賢,ZhouGuoXian
英雄勇,YingXiongYong,周國賢,ZhouGuoXian
萬世巨星,WanShiJuXing,周國賢,ZhouGuoXian
覺醒字幕組,JueXingZiMuZu,周國賢,ZhouGuoXian
請讓我回家,QingRangWoHuiJia,周國賢,ZhouGuoXian
赤城千葉,ChiChengQianXie,周國賢,ZhouGuoXian
退化論,TuiHuaLun,周國賢,ZhouGuoXian
逃避,TaoBi,周國賢,ZhouGuoXian
過度活躍,GuoDuHuoYue,周國賢,ZhouGuoXian
那一天,NaYiTian,周國賢,ZhouGuoXian
重逢,ZhongFeng,周國賢,ZhouGuoXian
錢七,QianQi,周國賢,ZhouGuoXian
陽光燦爛的日子(Sunshine Version),YangGuangCanLanDeRiZi(SunshineVersion),周國賢,ZhouGuoXian
陽光燦爛的日子,YangGuangCanLanDeRiZi,周國賢,ZhouGuoXian
離魂記,LiHunJi,周國賢,ZhouGuoXian
雪國,XueGuo,周國賢,ZhouGuoXian
風起,FengQi,周國賢,ZhouGuoXian
飛,Fei,周國賢,ZhouGuoXian
食懵你,ShiMengNi,周國賢,ZhouGuoXian
黃金入球,HuangJinRuQiu,周國賢,ZhouGuoXian
黑歷史,HeiLiShi,周國賢,ZhouGuoXian
黑眼圈,HeiYanQuan,周國賢,ZhouGuoXian
Colors,Colors,周柏豪,ZhouBoHao
DayLight Demo,DayLightDemo,周柏豪,ZhouBoHao
Daylight,Daylight,周柏豪,ZhouBoHao
How Do I Look (& Shimica),HowDoILook(&Shimica),周柏豪,ZhouBoHao
How Do I Look (feat. Shimica),HowDoILook(feat.Shimica),周柏豪,ZhouBoHao
Humming... 0'19,Humming...0'19,周柏豪,ZhouBoHao
Imperfect,Imperfect,周柏豪,ZhouBoHao
Jupiter,Jupiter,周柏豪,ZhouBoHao
Lovin' You,Lovin'You,周柏豪,ZhouBoHao
Loving you,Lovingyou,周柏豪,ZhouBoHao
Now I Know,NowIKnow,周柏豪,ZhouBoHao
Smiley Face,SmileyFace,周柏豪,ZhouBoHao
Touchscreen,Touchscreen,周柏豪,ZhouBoHao
一事無成 (鄭融合唱),YiShiWuCheng(ZhengRongHeChang),周柏豪,ZhouBoHao
一事無成(& 鄭融),YiShiWuCheng(&ZhengRong),周柏豪,ZhouBoHao
一拖再拖,YiTuoZaiTuo,周柏豪,ZhouBoHao
上下線,ShangXiaXian,周柏豪,ZhouBoHao
上次講到,ShangCiJiangDao,周柏豪,ZhouBoHao
不可能,BuKeNeng,周柏豪,ZhouBoHao
乒乓,PingPang,周柏豪,ZhouBoHao
乞丐王子,QiGaiWangZi,周柏豪,ZhouBoHao
今天應該很快樂,JinTianYingGaiHenKuaiLe,周柏豪,ZhouBoHao
你是我的未來,NiShiWoDeWeiLai,周柏豪,ZhouBoHao
傑出青年,JieChuQingNian,周柏豪,ZhouBoHao
傳聞,ChuanWen,周柏豪,ZhouBoHao
傻小子,ShaXiaoZi,周柏豪,ZhouBoHao
六天,LiuTian,周柏豪,ZhouBoHao
前言,QianYan,周柏豪,ZhouBoHao
只有一事不成全你,ZhiYouYiShiBuChengQuanNi,周柏豪,ZhouBoHao
同天空 Different Color Mix,TongTianKongDifferentColorMix,周柏豪,ZhouBoHao
同天空,TongTianKong,周柏豪,ZhouBoHao
同林,TongLin,周柏豪,ZhouBoHao
同行,TongXing,周柏豪,ZhouBoHao
哦,E,周柏豪,ZhouBoHao
囂 (Arrogant),Xiao(Arrogant),周柏豪,ZhouBoHao
報告總司令,BaoGaoZongSiLing,周柏豪,ZhouBoHao
夠鐘,GouZhong,周柏豪,ZhouBoHao
天下大亂,TianXiaDaLuan,周柏豪,ZhouBoHao
天不怕地不怕,TianBuPaDiBuPa,周柏豪,ZhouBoHao
天光,TianGuang,周柏豪,ZhouBoHao
天網,TianWang,周柏豪,ZhouBoHao
如果,RuGuo,周柏豪,ZhouBoHao
妳還怕大雨嗎(國),NaiHuanPaDaYuMa(Guo),周柏豪,ZhouBoHao
宏願,HongYuan,周柏豪,ZhouBoHao
小孩,XiaoHai,周柏豪,ZhouBoHao
小白,XiaoBai,周柏豪,ZhouBoHao
後援,HouYuan,周柏豪,ZhouBoHao
怒花,NuHua,周柏豪,ZhouBoHao
想太多,XiangTaiDuo,周柏豪,ZhouBoHao
愛是彩色的,AiShiCaiSeDe,周柏豪,ZhouBoHao
我不動,WoBuDong,周柏豪,ZhouBoHao
我不要被你記住 Demo Version,WoBuYaoBeiNiJiZhuDemoVersion,周柏豪,ZhouBoHao
我不要被你記住,WoBuYaoBeiNiJiZhu,周柏豪,ZhouBoHao
我們的使命,WoMenDeShiMing,周柏豪,ZhouBoHao
我的宣言,WoDeXuanYan,周柏豪,ZhouBoHao
拿愛情給我,NaAiQingGeiWo,周柏豪,ZhouBoHao
摔角(Big Shot Version),ShuaiJiao(BigShotVersion),周柏豪,ZhouBoHao
摔角,ShuaiJiao,周柏豪,ZhouBoHao
放過自己,FangGuoZiJi,周柏豪,ZhouBoHao
數碼超能量,ShuMaChaoNengLiang,周柏豪,ZhouBoHao
斬立決,ZhanLiJue,周柏豪,ZhouBoHao
日落日出(& 連詩雅),RiLuoRiChu(&LianShiYa),周柏豪,ZhouBoHao
最好不過,ZuiHaoBuGuo,周柏豪,ZhouBoHao
最後召集,ZuiHouZhaoJi,周柏豪,ZhouBoHao
最後的三分十六,ZuiHouDeSanFenShiLiu,周柏豪,ZhouBoHao
月光濃湯,YueGuangNongTang,周柏豪,ZhouBoHao
有生一天,YouShengYiTian,周柏豪,ZhouBoHao
歹角,DaiJiao,周柏豪,ZhouBoHao
比薩斜塔,BiSaXieTa,周柏豪,ZhouBoHao
烏托邦,WuTuoBang,周柏豪,ZhouBoHao
無力挽回,WuLiWanHui,周柏豪,ZhouBoHao
犯同樣的錯,FanTongYangDeCuo,周柏豪,ZhouBoHao
現在已夜深,XianZaiYiYeShen,周柏豪,ZhouBoHao
男人背後,NanRenBeiHou,周柏豪,ZhouBoHao
異能,YiNeng,周柏豪,ZhouBoHao
百年不合,BaiNianBuHe,周柏豪,ZhouBoHao
相安無事,XiangAnWuShi,周柏豪,ZhouBoHao
磨牙,MoYa,周柏豪,ZhouBoHao
等不到,DengBuDao,周柏豪,ZhouBoHao
簡約,JianYue,周柏豪,ZhouBoHao
米飯香(國),MiFanXiang(Guo),周柏豪,ZhouBoHao
終於我們& 岑寧兒),ZhongYuWoMen&CenNingEr),周柏豪,ZhouBoHao
終於我們(& 岑寧兒),ZhongYuWoMen(&CenNingEr),周柏豪,ZhouBoHao
老少平安,LaoShaoPingAn,周柏豪,ZhouBoHao
背後女人(& 楊千嬅),BeiHouNuRen(&YangQianHua),周柏豪,ZhouBoHao
背後女人,BeiHouNuRen,周柏豪,ZhouBoHao
自由意志,ZiYouYiZhi,周柏豪,ZhouBoHao
莫失莫忘,MoShiMoWang,周柏豪,ZhouBoHao
著地,ZhuDi,周柏豪,ZhouBoHao
走狗,ZouGou,周柏豪,ZhouBoHao
起跳,QiTiao,周柏豪,ZhouBoHao
近在千里 (& 衛蘭) (Closer),JinZaiQianLi(&WeiLan)(Closer),周柏豪,ZhouBoHao
近在千里 (& 衛蘭),JinZaiQianLi(&WeiLan),周柏豪,ZhouBoHao
還記得,HuanJiDe,周柏豪,ZhouBoHao
金,Jin,周柏豪,ZhouBoHao
錯配(國),CuoPei(Guo),周柏豪,ZhouBoHao
關於我們,GuanYuWoMen,周柏豪,ZhouBoHao
阿鈍,ADun,周柏豪,ZhouBoHao
陳某,ChenMou,周柏豪,ZhouBoHao
雙人床的空位,ShuangRenChuangDeKongWei,周柏豪,ZhouBoHao
雙．對,Shuang．Dui,周柏豪,ZhouBoHao
露齒,LuChi,周柏豪,ZhouBoHao
鞦韆,QiuQian,周柏豪,ZhouBoHao
黑,Hei,周柏豪,ZhouBoHao
! (music),!(music),孫耀威,SunYaoWei
#DLGH (跌落個海),#DLGH(DieLuoGeHai),孫耀威,SunYaoWei
#DLGH(跌落個海),#DLGH(DieLuoGeHai),孫耀威,SunYaoWei
36,36,孫耀威,SunYaoWei
5-10-15. com(new),5-10-15.com(new),孫耀威,SunYaoWei
All I Need,AllINeed,孫耀威,SunYaoWei
Always(年輕的顏色),Always(NianQingDeYanSe),孫耀威,SunYaoWei
And I love you so,AndIloveyouso,孫耀威,SunYaoWei
"Baby, I Love Your Way","Baby,ILoveYourWay",孫耀威,SunYaoWei
Christmas 1994,Christmas1994,孫耀威,SunYaoWei
Come Back To Me,ComeBackToMe,孫耀威,SunYaoWei
Count On Me,CountOnMe,孫耀威,SunYaoWei
Dear God(Bonus Track),DearGod(BonusTrack),孫耀威,SunYaoWei
Devil Woman,DevilWoman,孫耀威,SunYaoWei
Diana,Diana,孫耀威,SunYaoWei
Faithful Man,FaithfulMan,孫耀威,SunYaoWei
Heaven knows,Heavenknows,孫耀威,SunYaoWei
HELLO STRANGER,HELLOSTRANGER,孫耀威,SunYaoWei
Here I Go(A Cappella Version),HereIGo(ACappellaVersion),孫耀威,SunYaoWei
Here I Go(英),HereIGo(Ying),孫耀威,SunYaoWei
Here I Go,HereIGo,孫耀威,SunYaoWei
HOW MUCH I LOVE YOU,HOWMUCHILOVEYOU,孫耀威,SunYaoWei
I Do,IDo,孫耀威,SunYaoWei
I Like Chopin,ILikeChopin,孫耀威,SunYaoWei
I Will Be Here For You,IWillBeHereForYou,孫耀威,SunYaoWei
It's My Day,It'sMyDay,孫耀威,SunYaoWei
just when i needed you most,justwhenineededyoumost,孫耀威,SunYaoWei
Lady Moon,LadyMoon,孫耀威,SunYaoWei
LONELY GIRL,LONELYGIRL,孫耀威,SunYaoWei
Longly Girl,LonglyGirl,孫耀威,SunYaoWei
One Million Miles,OneMillionMiles,孫耀威,SunYaoWei
Party Life,PartyLife,孫耀威,SunYaoWei
Please don't go,Pleasedon'tgo,孫耀威,SunYaoWei
RUN TO ME,RUNTOME,孫耀威,SunYaoWei
When I Need You,WhenINeedYou,孫耀威,SunYaoWei
When I See Your Face,WhenISeeYourFace,孫耀威,SunYaoWei
Yesterday Once More,YesterdayOnceMore,孫耀威,SunYaoWei
You And I(國),YouAndI(Guo),孫耀威,SunYaoWei
You And I,YouAndI,孫耀威,SunYaoWei
一人一半,YiRenYiBan,孫耀威,SunYaoWei
一個人的好處,YiGeRenDeHaoChu,孫耀威,SunYaoWei
一億三千八天,YiYiSanQianBaTian,孫耀威,SunYaoWei
一百米,YiBaiMi,孫耀威,SunYaoWei
七百萬人的故事,QiBaiWanRenDeGuShi,孫耀威,SunYaoWei
不可不愛,BuKeBuAi,孫耀威,SunYaoWei
不可含怒到日落,BuKeHanNuDaoRiLuo,孫耀威,SunYaoWei
不屬於我的淚(國),BuShuYuWoDeLei(Guo),孫耀威,SunYaoWei
不屬於我的淚,BuShuYuWoDeLei,孫耀威,SunYaoWei
不必為我留下(Accustic Version),BuBiWeiWoLiuXia(AccusticVersion),孫耀威,SunYaoWei
不必為我留下(acoustic version),BuBiWeiWoLiuXia(acousticversion),孫耀威,SunYaoWei
不必為我留下,BuBiWeiWoLiuXia,孫耀威,SunYaoWei
不能傳達的思念,BuNengChuanDaDeSiNian,孫耀威,SunYaoWei
不能呼吸,BuNengHuXi,孫耀威,SunYaoWei
不願錯過你的愛,BuYuanCuoGuoNiDeAi,孫耀威,SunYaoWei
今後都是為你,JinHouDuShiWeiNi,孫耀威,SunYaoWei
仍然喜歡你(Dony Technology Work Room),RengRanXiHuanNi(DonyTechnologyWorkRoom),孫耀威,SunYaoWei
仍然喜歡你,RengRanXiHuanNi,孫耀威,SunYaoWei
你我還是錯的,NiWoHuanShiCuoDe,孫耀威,SunYaoWei
你是我的女王,NiShiWoDeNuWang,孫耀威,SunYaoWei
你是最清楚(孫耀威&洪子晴),NiShiZuiQingChu(SunYaoWei&HongZiQing),孫耀威,SunYaoWei
你的孩子,NiDeHaiZi,孫耀威,SunYaoWei
你變了沒有,NiBianLiaoMeiYou,孫耀威,SunYaoWei
傷心笑話,ShangXinXiaoHua,孫耀威,SunYaoWei
全心全意,QuanXinQuanYi,孫耀威,SunYaoWei
兩顆心,LiangKeXin,孫耀威,SunYaoWei
再見亦是戀人(孫耀威&車婉婉),ZaiJianYiShiLianRen(SunYaoWei&CheWanWan),孫耀威,SunYaoWei
再見亦是戀人,ZaiJianYiShiLianRen,孫耀威,SunYaoWei
別回頭,BieHuiTou,孫耀威,SunYaoWei
別怕,BiePa,孫耀威,SunYaoWei
別管我愛誰,BieGuanWoAiShui,孫耀威,SunYaoWei
別貪名牌,BieTanMingPai,孫耀威,SunYaoWei
午夜迷迭香(國),WuYeMiDieXiang(Guo),孫耀威,SunYaoWei
午夜迷迭香,WuYeMiDieXiang,孫耀威,SunYaoWei
卑微(國),BeiWei(Guo),孫耀威,SunYaoWei
